id,sample,expdataset,sT,sP,comp.H2,unit,comp.H2O,unit,comp.NaCl,unit,phase.Pitzer_NaCl.RHO,unit,error
204,Ar204,Archer_syn,150,50,0.00001,molal,1000,g,1,molal,0.959157,g/cm3,
205,Ar205,Archer_syn,150,100,0.00001,molal,1000,g,1,molal,0.961717,g/cm3,
206,Ar206,Archer_syn,150,200,0.00001,molal,1000,g,1,molal,0.966697,g/cm3,
207,Ar207,Archer_syn,150,300,0.00001,molal,1000,g,1,molal,0.971508,g/cm3,
208,Ar208,Archer_syn,150,400,0.00001,molal,1000,g,1,molal,0.976163,g/cm3,
209,Ar209,Archer_syn,150,500,0.00001,molal,1000,g,1,molal,0.980675,g/cm3,
210,Ar210,Archer_syn,150,600,0.00001,molal,1000,g,1,molal,0.985053,g/cm3,
211,Ar211,Archer_syn,150,700,0.00001,molal,1000,g,1,molal,0.989307,g/cm3,
212,Ar212,Archer_syn,150,800,0.00001,molal,1000,g,1,molal,0.993444,g/cm3,
213,Ar213,Archer_syn,150,900,0.00001,molal,1000,g,1,molal,0.997471,g/cm3,
214,Ar214,Archer_syn,150,1000,0.00001,molal,1000,g,1,molal,1.00139,g/cm3,
215,Ar215,Archer_syn,175,50,0.00001,molal,1000,g,1,molal,0.93626,g/cm3,
216,Ar216,Archer_syn,175,100,0.00001,molal,1000,g,1,molal,0.939126,g/cm3,
217,Ar217,Archer_syn,175,200,0.00001,molal,1000,g,1,molal,0.944673,g/cm3,
218,Ar218,Archer_syn,175,300,0.00001,molal,1000,g,1,molal,0.949997,g/cm3,
219,Ar219,Archer_syn,175,400,0.00001,molal,1000,g,1,molal,0.955119,g/cm3,
220,Ar220,Archer_syn,175,500,0.00001,molal,1000,g,1,molal,0.960056,g/cm3,
221,Ar221,Archer_syn,175,600,0.00001,molal,1000,g,1,molal,0.964823,g/cm3,
222,Ar222,Archer_syn,175,700,0.00001,molal,1000,g,1,molal,0.969432,g/cm3,
223,Ar223,Archer_syn,25,50,0.00001,molal,1000,g,5,molal,1.1681,g/cm3,
224,Ar224,Archer_syn,25,100,0.00001,molal,1000,g,5,molal,1.16979,g/cm3,
225,Ar225,Archer_syn,25,200,0.00001,molal,1000,g,5,molal,1.17312,g/cm3,
226,Ar226,Archer_syn,25,300,0.00001,molal,1000,g,5,molal,1.1764,g/cm3,
227,Ar227,Archer_syn,25,400,0.00001,molal,1000,g,5,molal,1.17962,g/cm3,
228,Ar228,Archer_syn,25,500,0.00001,molal,1000,g,5,molal,1.1828,g/cm3,
229,Ar229,Archer_syn,25,600,0.00001,molal,1000,g,5,molal,1.18594,g/cm3,
230,Ar230,Archer_syn,25,700,0.00001,molal,1000,g,5,molal,1.18903,g/cm3,
231,Ar231,Archer_syn,25,800,0.00001,molal,1000,g,5,molal,1.19208,g/cm3,
232,Ar232,Archer_syn,25,900,0.00001,molal,1000,g,5,molal,1.1951,g/cm3,
233,Ar233,Archer_syn,25,1000,0.00001,molal,1000,g,5,molal,1.19807,g/cm3,
234,Ar234,Archer_syn,50,50,0.00001,molal,1000,g,5,molal,1.15468,g/cm3,
235,Ar235,Archer_syn,50,100,0.00001,molal,1000,g,5,molal,1.15639,g/cm3,
236,Ar236,Archer_syn,50,200,0.00001,molal,1000,g,5,molal,1.15974,g/cm3,
237,Ar237,Archer_syn,50,300,0.00001,molal,1000,g,5,molal,1.16304,g/cm3,
238,Ar238,Archer_syn,50,400,0.00001,molal,1000,g,5,molal,1.16628,g/cm3,
239,Ar239,Archer_syn,50,500,0.00001,molal,1000,g,5,molal,1.16947,g/cm3,
240,Ar240,Archer_syn,50,600,0.00001,molal,1000,g,5,molal,1.17262,g/cm3,
241,Ar241,Archer_syn,50,700,0.00001,molal,1000,g,5,molal,1.17571,g/cm3,
242,Ar242,Archer_syn,50,800,0.00001,molal,1000,g,5,molal,1.17876,g/cm3,
243,Ar243,Archer_syn,50,900,0.00001,molal,1000,g,5,molal,1.18177,g/cm3,
244,Ar244,Archer_syn,50,1000,0.00001,molal,1000,g,5,molal,1.18474,g/cm3,
245,Ar245,Archer_syn,75,50,0.00001,molal,1000,g,5,molal,1.13998,g/cm3,
246,Ar246,Archer_syn,75,100,0.00001,molal,1000,g,5,molal,1.14174,g/cm3,
247,Ar247,Archer_syn,75,200,0.00001,molal,1000,g,5,molal,1.1452,g/cm3,
248,Ar248,Archer_syn,75,300,0.00001,molal,1000,g,5,molal,1.1486,g/cm3,
249,Ar249,Archer_syn,75,400,0.00001,molal,1000,g,5,molal,1.15193,g/cm3,
250,Ar250,Archer_syn,75,500,0.00001,molal,1000,g,5,molal,1.15521,g/cm3,
251,Ar251,Archer_syn,75,600,0.00001,molal,1000,g,5,molal,1.15843,g/cm3,
252,Ar252,Archer_syn,75,700,0.00001,molal,1000,g,5,molal,1.1616,g/cm3,
253,Ar253,Archer_syn,75,800,0.00001,molal,1000,g,5,molal,1.16473,g/cm3,
254,Ar254,Archer_syn,75,900,0.00001,molal,1000,g,5,molal,1.1678,g/cm3,
255,Ar255,Archer_syn,75,1000,0.00001,molal,1000,g,5,molal,1.17083,g/cm3,
256,Ar256,Archer_syn,100,50,0.00001,molal,1000,g,5,molal,1.12401,g/cm3,
257,Ar257,Archer_syn,100,100,0.00001,molal,1000,g,5,molal,1.12585,g/cm3,
258,Ar258,Archer_syn,100,200,0.00001,molal,1000,g,5,molal,1.12948,g/cm3,
259,Ar259,Archer_syn,100,300,0.00001,molal,1000,g,5,molal,1.13304,g/cm3,
260,Ar260,Archer_syn,100,400,0.00001,molal,1000,g,5,molal,1.13653,g/cm3,
261,Ar261,Archer_syn,100,500,0.00001,molal,1000,g,5,molal,1.13996,g/cm3,
262,Ar262,Archer_syn,100,600,0.00001,molal,1000,g,5,molal,1.14333,g/cm3,
263,Ar263,Archer_syn,100,700,0.00001,molal,1000,g,5,molal,1.14664,g/cm3,
264,Ar264,Archer_syn,100,800,0.00001,molal,1000,g,5,molal,1.1499,g/cm3,
265,Ar265,Archer_syn,100,900,0.00001,molal,1000,g,5,molal,1.15311,g/cm3,
266,Ar266,Archer_syn,100,1000,0.00001,molal,1000,g,5,molal,1.15627,g/cm3,
267,Ar267,Archer_syn,125,50,0.00001,molal,1000,g,5,molal,1.10677,g/cm3,
268,Ar268,Archer_syn,125,100,0.00001,molal,1000,g,5,molal,1.10873,g/cm3,
269,Ar269,Archer_syn,125,200,0.00001,molal,1000,g,5,molal,1.11258,g/cm3,
270,Ar270,Archer_syn,125,300,0.00001,molal,1000,g,5,molal,1.11636,g/cm3,
271,Ar271,Archer_syn,125,400,0.00001,molal,1000,g,5,molal,1.12006,g/cm3,
272,Ar272,Archer_syn,125,500,0.00001,molal,1000,g,5,molal,1.1237,g/cm3,
273,Ar273,Archer_syn,125,600,0.00001,molal,1000,g,5,molal,1.12728,g/cm3,
274,Ar274,Archer_syn,125,700,0.00001,molal,1000,g,5,molal,1.13079,g/cm3,
275,Ar275,Archer_syn,125,800,0.00001,molal,1000,g,5,molal,1.13424,g/cm3,
276,Ar276,Archer_syn,125,900,0.00001,molal,1000,g,5,molal,1.13764,g/cm3,
